Kingdom,Genome ID
Bacteria,GCF_003048595.2
Bacteria,GCF_003048615.2
Bacteria,GCF_003048675.2
Bacteria,GCF_003048685.2
Bacteria,GCF_003048695.2
Bacteria,GCF_003048775.2
Bacteria,GCF_003048835.2
Bacteria,GCF_003048875.2
Bacteria,GCF_015679945.1
Bacteria,GCF_015679965.1
Bacteria,GCF_015679985.1
Bacteria,GCF_015680005.1
Bacteria,GCF_015680025.1
Bacteria,GCF_013372125.1
Bacteria,GCF_020736225.1
Bacteria,GCF_902381815.1
Bacteria,GCF_001017575.1
Bacteria,GCF_010469945.1
Bacteria,GCF_016726265.1
Bacteria,GCF_900638335.1
Bacteria,GCF_013372205.1
Bacteria,GCF_004803795.1
Bacteria,GCF_020736205.1
Bacteria,GCF_004803815.1
Bacteria,GCF_900699785.1
Bacteria,GCF_002220775.1
Bacteria,GCF_000685665.1
Bacteria,GCF_000685705.1
Bacteria,GCF_000685745.1
Bacteria,GCF_000817025.1
Bacteria,GCF_000827025.1
Bacteria,GCF_001433515.1
Bacteria,GCF_001653375.1
Bacteria,GCF_001653395.1
Bacteria,GCF_001653415.1
Bacteria,GCF_001653435.1
Bacteria,GCF_001653455.1
Bacteria,GCF_001653475.1
Bacteria,GCF_002222575.1
Bacteria,GCF_002906495.1
Bacteria,GCF_002906535.1
Bacteria,GCF_002906555.1
Bacteria,GCF_002951975.1
Bacteria,GCF_002952455.1
Bacteria,GCF_002952475.1
Bacteria,GCF_002952495.1
Bacteria,GCF_002952515.1
Bacteria,GCF_002952535.1
Bacteria,GCF_002952555.1
Bacteria,GCF_002952575.1
Bacteria,GCF_002952595.1
Bacteria,GCF_002952615.1
Bacteria,GCF_002952635.1
Bacteria,GCF_002952655.1
Bacteria,GCF_002952675.1
Bacteria,GCF_002953555.1
Bacteria,GCF_002983705.1
Bacteria,GCF_003050665.1
Bacteria,GCF_003636855.2
Bacteria,GCF_003855475.1
Bacteria,GCF_003939085.1
Bacteria,GCF_003957395.1
Bacteria,GCF_004088075.1
Bacteria,GCF_004088155.1
Bacteria,GCF_004295525.1
Bacteria,GCF_004295545.1
Bacteria,GCF_006337265.1
Bacteria,GCF_006337285.1
Bacteria,GCF_006337305.1
Bacteria,GCF_006337325.1
Bacteria,GCF_006337345.1
Bacteria,GCF_006337365.1
Bacteria,GCF_006337385.1
Bacteria,GCF_006337405.1
Bacteria,GCF_006337425.1
Bacteria,GCF_006337445.1
Bacteria,GCF_006337465.1
Bacteria,GCF_006337485.1
Bacteria,GCF_006337625.1
Bacteria,GCF_006337745.1
Bacteria,GCF_006337875.1
Bacteria,GCF_006338045.1
Bacteria,GCF_006338145.1
Bacteria,GCF_006338285.1
Bacteria,GCF_006338415.1
Bacteria,GCF_006338545.1
Bacteria,GCF_006338685.1
Bacteria,GCF_006338815.1
Bacteria,GCF_006338945.1
Bacteria,GCF_006339065.1
Bacteria,GCF_006339235.1
Bacteria,GCF_006339365.1
Bacteria,GCF_007794935.1
Bacteria,GCF_007836735.1
Bacteria,GCF_007836855.1
Bacteria,GCF_007843535.1
Bacteria,GCF_007843715.1
Bacteria,GCF_007843915.1
Bacteria,GCF_007844035.1
Bacteria,GCF_007844055.1
Bacteria,GCF_008326525.1
Bacteria,GCF_010917155.1
Bacteria,GCF_010917555.1
Bacteria,GCF_010917675.1
Bacteria,GCF_011456275.1
Bacteria,GCF_011456295.1
Bacteria,GCF_011456315.1
Bacteria,GCF_011456475.1
Bacteria,GCF_011456665.1
Bacteria,GCF_011456895.1
Bacteria,GCF_011457115.1
Bacteria,GCF_011457355.1
Bacteria,GCF_011457615.1
Bacteria,GCF_011457815.1
Bacteria,GCF_011458015.1
Bacteria,GCF_011458095.1
Bacteria,GCF_011458315.1
Bacteria,GCF_011462215.1
Bacteria,GCF_011462375.1
Bacteria,GCF_011462575.1
Bacteria,GCF_011462735.1
Bacteria,GCF_011462915.1
Bacteria,GCF_011463035.1
Bacteria,GCF_011463055.1
Bacteria,GCF_011463175.1
Bacteria,GCF_013122035.1
Bacteria,GCF_013122055.1
Bacteria,GCF_013122115.1
Bacteria,GCF_016747995.1
Bacteria,GCF_016748085.1
Bacteria,GCF_016748175.1
Bacteria,GCF_016748265.1
Bacteria,GCF_016748415.1
Bacteria,GCF_016748555.1
Bacteria,GCF_016748675.1
Bacteria,GCF_016748795.1
Bacteria,GCF_016748925.1
Bacteria,GCF_016749025.1
Bacteria,GCF_016749085.1
Bacteria,GCF_016749215.1
Bacteria,GCF_016749335.1
Bacteria,GCF_016749455.1
Bacteria,GCF_016749575.1
Bacteria,GCF_016749715.1
Bacteria,GCF_016749815.1
Bacteria,GCF_016755615.1
Bacteria,GCF_016755635.1
Bacteria,GCF_016755655.1
Bacteria,GCF_016755675.1
Bacteria,GCF_016755695.1
Bacteria,GCF_016755715.1
Bacteria,GCF_016755735.1
Bacteria,GCF_016755755.1
Bacteria,GCF_016755775.1
Bacteria,GCF_016755795.1
Bacteria,GCF_016755815.1
Bacteria,GCF_016757535.1
Bacteria,GCF_016757555.1
Bacteria,GCF_016757575.1
Bacteria,GCF_016757595.1
Bacteria,GCF_017821235.1
Bacteria,GCF_017821275.1
Bacteria,GCF_017821355.1
Bacteria,GCF_017821475.1
Bacteria,GCF_017821535.1
Bacteria,GCF_017821595.1
Bacteria,GCF_017821615.1
Bacteria,GCF_017821635.1
Bacteria,GCF_017821655.1
Bacteria,GCF_019670505.1
Bacteria,GCF_019973855.1
Bacteria,GCF_019973875.1
Bacteria,GCF_019973995.1
Bacteria,GCF_019974055.1
Bacteria,GCF_020735525.1
Bacteria,GCF_020735805.1
Bacteria,GCF_020906585.1
Bacteria,GCF_021184145.1
Bacteria,GCF_021729485.1
Bacteria,GCF_021729505.1
Bacteria,GCF_021729525.1
Bacteria,GCF_021729605.1
Bacteria,GCF_021729685.1
Bacteria,GCF_021729725.1
Bacteria,GCF_022014635.1
Bacteria,GCF_022921175.1
Bacteria,GCF_022921195.1
Bacteria,GCF_022921215.1
Bacteria,GCF_022921235.1
Bacteria,GCF_022921255.1
Bacteria,GCF_022921275.1
Bacteria,GCF_022921295.1
Bacteria,GCF_022921315.1
Bacteria,GCF_022921335.1
Bacteria,GCF_022921355.1
Bacteria,GCF_022921575.1
Bacteria,GCF_022921695.1
Bacteria,GCF_022921755.1
Bacteria,GCF_022921775.1
Bacteria,GCF_022921795.1
Bacteria,GCF_022921815.1
Bacteria,GCF_022921835.1
Bacteria,GCF_022921855.1
Bacteria,GCF_022921875.1
Bacteria,GCF_022921895.1
Bacteria,GCF_022921915.1
Bacteria,GCF_022921935.1
Bacteria,GCF_022921955.1
Bacteria,GCF_022921975.1
Bacteria,GCF_022921995.1
Bacteria,GCF_022922015.1
Bacteria,GCF_022922035.1
Bacteria,GCF_022922055.1
Bacteria,GCF_022922175.1
Bacteria,GCF_022922295.1
Bacteria,GCF_022922415.1
Bacteria,GCF_022922515.1
Bacteria,GCF_022922655.1
Bacteria,GCF_022922775.1
Bacteria,GCF_022922915.1
Bacteria,GCF_022922955.1
Bacteria,GCF_022922975.1
Bacteria,GCF_022923015.1
Bacteria,GCF_022923035.1
Bacteria,GCF_022923055.1
Bacteria,GCF_022923095.1
Bacteria,GCF_022923115.1
Bacteria,GCF_022923135.1
Bacteria,GCF_022923155.1
Bacteria,GCF_022923275.1
Bacteria,GCF_022923395.1
Bacteria,GCF_022923515.1
Bacteria,GCF_022923555.1
Bacteria,GCF_022923575.1
Bacteria,GCF_022923595.1
Bacteria,GCF_022923615.1
Bacteria,GCF_022923635.1
Bacteria,GCF_022923655.1
Bacteria,GCF_022923675.1
Bacteria,GCF_022923695.1
Bacteria,GCF_022923775.1
Bacteria,GCF_022923915.1
Bacteria,GCF_022924035.1
Bacteria,GCF_022924175.1
Bacteria,GCF_022924275.1
Bacteria,GCF_022924355.1
Bacteria,GCF_022924375.1
Bacteria,GCF_022924395.1
Bacteria,GCF_022924415.1
Bacteria,GCF_022924435.1
Bacteria,GCF_022924455.1
Bacteria,GCF_022924475.1
Bacteria,GCF_022924495.1
Bacteria,GCF_022924515.1
Bacteria,GCF_022924535.1
Bacteria,GCF_022924555.1
Bacteria,GCF_022924575.1
Bacteria,GCF_022924655.1
Bacteria,GCF_022924735.1
Bacteria,GCF_022924875.1
Bacteria,GCF_022924995.1
Bacteria,GCF_022925175.1
Bacteria,GCF_022925215.1
Bacteria,GCF_022925255.1
Bacteria,GCF_022925275.1
Bacteria,GCF_022925295.1
Bacteria,GCF_022925415.1
Bacteria,GCF_022925575.1
Bacteria,GCF_022925675.1
Bacteria,GCF_022925755.1
Bacteria,GCF_022925775.1
Bacteria,GCF_022925795.1
Bacteria,GCF_022925835.1
Bacteria,GCF_022925855.1
Bacteria,GCF_022925875.1
Bacteria,GCF_022925905.1
Bacteria,GCF_022925925.1
Bacteria,GCF_022925945.1
Bacteria,GCF_023169645.1
Bacteria,GCF_023169665.1
Bacteria,GCF_023169785.1
Bacteria,GCF_900119955.1
Bacteria,GCF_900119995.1
Bacteria,GCF_900120055.1
Bacteria,GCF_900120135.1
Bacteria,GCF_900120185.1
Bacteria,GCF_900120205.1
Bacteria,GCF_900120225.1
Bacteria,GCF_900120255.1
Bacteria,GCF_900120275.1
Bacteria,GCF_900120315.1
Bacteria,GCF_900120335.1
Bacteria,GCF_900149805.1
Bacteria,GCF_900176185.1
Bacteria,GCF_900638475.1
Bacteria,GCF_900638505.1
Bacteria,GCF_902381665.1
Bacteria,GCF_003213725.2
Bacteria,GCF_003213825.2
Bacteria,GCF_003214155.2
Bacteria,GCF_003574195.1
Bacteria,GCF_014931095.1
Bacteria,GCF_014931155.1
Bacteria,GCF_021655575.1
Bacteria,GCF_021655595.1
Bacteria,GCF_902381705.1
Bacteria,GCF_900476215.1
Bacteria,GCF_004328865.1
Bacteria,GCF_000740135.1
Bacteria,GCF_000740155.1
Bacteria,GCF_000740175.1
Bacteria,GCF_000740295.1
Bacteria,GCF_000740315.1
Bacteria,GCF_001043295.1
Bacteria,GCF_002262975.1
Bacteria,GCF_002262995.1
Bacteria,GCF_002895145.1
Bacteria,GCF_003244395.3
Bacteria,GCF_003290345.1
Bacteria,GCF_003675365.1
Bacteria,GCF_008761575.1
Bacteria,GCF_002022105.1
Bacteria,GCF_002022145.1
Bacteria,GCF_002887275.1
Bacteria,GCF_011612125.1
Bacteria,GCF_900475375.1
Bacteria,GCF_003815995.1
Bacteria,GCF_008705155.1
Bacteria,GCF_009834475.1
Bacteria,GCF_900636535.1
Bacteria,GCF_002025665.1
Bacteria,GCF_002208925.2
Bacteria,GCF_002591275.1
Bacteria,GCF_003812605.1
Bacteria,GCF_003812865.1
Bacteria,GCF_003815935.1
Bacteria,GCF_016694815.1
Bacteria,GCF_018362995.1
Bacteria,GCF_020683005.1
Bacteria,GCF_900683405.1
Bacteria,GCF_003815895.1
Bacteria,GCF_003815915.1
Bacteria,GCF_016657085.1
Bacteria,GCF_016726985.1
Bacteria,GCF_016727005.1
Bacteria,GCF_016724845.1
Bacteria,GCF_016725325.1
Bacteria,GCF_016725645.1
Bacteria,GCF_901482695.1
Bacteria,GCF_001611815.4
Bacteria,GCF_002886065.1
Bacteria,GCF_003955775.1
Bacteria,GCF_003955795.1
Bacteria,GCF_003955815.1
Bacteria,GCF_019134735.1
Bacteria,GCF_019134755.1
Bacteria,GCF_019134775.1
Bacteria,GCF_019134815.1
Bacteria,GCF_019134835.1
Bacteria,GCF_019137555.1
Bacteria,GCF_019137575.1
Bacteria,GCF_019182265.1
Bacteria,GCF_021560555.1
Bacteria,GCF_021560595.1
Bacteria,GCF_000834965.1
Bacteria,GCF_001880205.1
Bacteria,GCF_001880245.1
Bacteria,GCF_002952075.1
Bacteria,GCF_004063735.1
Bacteria,GCF_023238405.1
Bacteria,GCF_007165405.1
Bacteria,GCF_007165645.1
Bacteria,GCF_007182855.1
Bacteria,GCF_016629545.1
Bacteria,GCF_016865275.1
Bacteria,GCF_016865295.1
Bacteria,GCF_019884805.1
Bacteria,GCF_019973715.1
Bacteria,GCF_019974155.1
Bacteria,GCF_019974315.1
Bacteria,GCF_019974355.1
Bacteria,GCF_019974375.1
Bacteria,GCF_019974395.1
Bacteria,GCF_022846275.1
Bacteria,GCF_022846295.1
Bacteria,GCF_022846315.1
Bacteria,GCF_022846335.1
Bacteria,GCF_022846355.1
Bacteria,GCF_900604845.1
Bacteria,GCF_014076415.1
Bacteria,GCF_014076475.1
Bacteria,GCF_000763245.3
Bacteria,GCF_000816985.1
Bacteria,GCF_000829255.1
Bacteria,GCF_000829275.1
Bacteria,GCF_000829885.1
Bacteria,GCF_000981825.1
Bacteria,GCF_001077475.1
Bacteria,GCF_001293085.1
Bacteria,GCF_001447845.1
Bacteria,GCF_001457615.1
Bacteria,GCF_001482325.1
Bacteria,GCF_001515845.2
Bacteria,GCF_001515915.2
Bacteria,GCF_001516005.1
Bacteria,GCF_001516105.1
Bacteria,GCF_001516165.2
Bacteria,GCF_001516185.2
Bacteria,GCF_001516205.2
Bacteria,GCF_001516225.2
Bacteria,GCF_001516245.2
Bacteria,GCF_001516265.1
Bacteria,GCF_001516305.2
Bacteria,GCF_001516325.2
Bacteria,GCF_001516345.1
Bacteria,GCF_001516365.2
Bacteria,GCF_001516385.1
Bacteria,GCF_001518975.1
Bacteria,GCF_001542795.2
Bacteria,GCF_001542835.1
Bacteria,GCF_001547955.1
Bacteria,GCF_001548135.1
Bacteria,GCF_001548335.1
Bacteria,GCF_001594325.2
Bacteria,GCF_001606045.1
Bacteria,GCF_001618925.1
Bacteria,GCF_001632245.1
Bacteria,GCF_001679685.1
Bacteria,GCF_001687285.1
Bacteria,GCF_001721745.1
Bacteria,GCF_001721765.1
Bacteria,GCF_001721785.1
Bacteria,GCF_001721805.1
Bacteria,GCF_001721825.1
Bacteria,GCF_001721845.1
Bacteria,GCF_001722005.2
Bacteria,GCF_001722025.1
Bacteria,GCF_001722045.1
Bacteria,GCF_001729505.1
Bacteria,GCF_001750705.1
Bacteria,GCF_001792835.1
Bacteria,GCF_001792855.1
Bacteria,GCF_001792875.1
Bacteria,GCF_001870265.1
Bacteria,GCF_001874465.1
Bacteria,GCF_001879525.1
Bacteria,GCF_001900195.1
Bacteria,GCF_001900225.1
Bacteria,GCF_001900265.1
Bacteria,GCF_002075065.1
Bacteria,GCF_002085605.1
Bacteria,GCF_002085755.1
Bacteria,GCF_002104595.1
Bacteria,GCF_002104615.1
Bacteria,GCF_002192475.1
Bacteria,GCF_002192495.1
Bacteria,GCF_002205335.1
Bacteria,GCF_002205355.1
Bacteria,GCF_002205375.1
Bacteria,GCF_002208645.1
Bacteria,GCF_002215345.1
Bacteria,GCF_002223805.1
Bacteria,GCF_002237405.1
Bacteria,GCF_002237425.1
Bacteria,GCF_002287725.2
Bacteria,GCF_002411865.3
Bacteria,GCF_002442855.1
Bacteria,GCF_002753655.1
Bacteria,GCF_002812825.1
Bacteria,GCF_002812845.1
Bacteria,GCF_002812865.1
Bacteria,GCF_002812885.1
Bacteria,GCF_002812905.2
Bacteria,GCF_002812925.2
Bacteria,GCF_002946935.1
Bacteria,GCF_002968515.1
Bacteria,GCF_002968585.1
Bacteria,GCF_002968655.1
Bacteria,GCF_002968695.1
Bacteria,GCF_002968755.1
Bacteria,GCF_002968955.1
Bacteria,GCF_002997005.1
Bacteria,GCF_003025345.2
Bacteria,GCF_003028335.1
Bacteria,GCF_003052005.2
Bacteria,GCF_003060845.1
Bacteria,GCF_003073615.1
Bacteria,GCF_003073695.1
Bacteria,GCF_003073735.1
Bacteria,GCF_003073795.1
Bacteria,GCF_003073895.1
Bacteria,GCF_003193645.1
Bacteria,GCF_003194245.1
Bacteria,GCF_003204335.1
Bacteria,GCF_003206535.1
Bacteria,GCF_003288335.1
Bacteria,GCF_003288355.1
Bacteria,GCF_003288435.1
Bacteria,GCF_003319235.1
Bacteria,GCF_003332705.2
Bacteria,GCF_003369735.1
Bacteria,GCF_003369755.1
Bacteria,GCF_003369775.1
Bacteria,GCF_003408495.1
Bacteria,GCF_003411785.2
